,tile_ID,geometry,position
0,0,"POLYGON ((-77.1197949 38.917550066233616, -77.1197949 38.92453907094813, -77.1108117471588 38.92453907094813, -77.1108117471588 38.917550066233616, -77.1197949 38.917550066233616))","[0,11]"
1,1,"POLYGON ((-77.1197949 38.92453907094813, -77.1197949 38.93152738722498, -77.1108117471588 38.93152738722498, -77.1108117471588 38.92453907094813, -77.1197949 38.92453907094813))","[0,10]"
2,2,"POLYGON ((-77.1197949 38.93152738722498, -77.1197949 38.938515015028074, -77.1108117471588 38.938515015028074, -77.1108117471588 38.93152738722498, -77.1197949 38.93152738722498))","[0,9]"
3,3,"POLYGON ((-77.1197949 38.938515015028074, -77.1197949 38.94550195432127, -77.1108117471588 38.94550195432127, -77.1108117471588 38.938515015028074, -77.1197949 38.938515015028074))","[0,8]"
4,4,"POLYGON ((-77.1108117471588 38.91056037311766, -77.1108117471588 38.917550066233616, -77.10182859431761 38.917550066233616, -77.10182859431761 38.91056037311766, -77.1108117471588 38.91056037311766))","[1,12]"
5,5,"POLYGON ((-77.1108117471588 38.917550066233616, -77.1108117471588 38.92453907094813, -77.10182859431761 38.92453907094813, -77.10182859431761 38.917550066233616, -77.1108117471588 38.917550066233616))","[1,11]"
6,6,"POLYGON ((-77.1108117471588 38.92453907094813, -77.1108117471588 38.93152738722498, -77.10182859431761 38.93152738722498, -77.10182859431761 38.92453907094813, -77.1108117471588 38.92453907094813))","[1,10]"
7,7,"POLYGON ((-77.1108117471588 38.93152738722498, -77.1108117471588 38.938515015028074, -77.10182859431761 38.938515015028074, -77.10182859431761 38.93152738722498, -77.1108117471588 38.93152738722498))","[1,9]"
8,8,"POLYGON ((-77.1108117471588 38.938515015028074, -77.1108117471588 38.94550195432127, -77.10182859431761 38.94550195432127, -77.10182859431761 38.938515015028074, -77.1108117471588 38.938515015028074))","[1,8]"
9,9,"POLYGON ((-77.1108117471588 38.94550195432127, -77.1108117471588 38.95248820506855, -77.10182859431761 38.95248820506855, -77.10182859431761 38.94550195432127, -77.1108117471588 38.94550195432127))","[1,7]"
10,10,"POLYGON ((-77.10182859431761 38.90356999163647, -77.10182859431761 38.91056037311766, -77.09284544147643 38.91056037311766, -77.09284544147643 38.90356999163647, -77.10182859431761 38.90356999163647))","[2,13]"
11,11,"POLYGON ((-77.10182859431761 38.91056037311766, -77.10182859431761 38.917550066233616, -77.09284544147643 38.917550066233616, -77.09284544147643 38.91056037311766, -77.10182859431761 38.91056037311766))","[2,12]"
12,12,"POLYGON ((-77.10182859431761 38.917550066233616, -77.10182859431761 38.92453907094813, -77.09284544147643 38.92453907094813, -77.09284544147643 38.917550066233616, -77.10182859431761 38.917550066233616))","[2,11]"
13,13,"POLYGON ((-77.10182859431761 38.92453907094813, -77.10182859431761 38.93152738722498, -77.09284544147643 38.93152738722498, -77.09284544147643 38.92453907094813, -77.10182859431761 38.92453907094813))","[2,10]"
14,14,"POLYGON ((-77.10182859431761 38.93152738722498, -77.10182859431761 38.938515015028074, -77.09284544147643 38.938515015028074, -77.09284544147643 38.93152738722498, -77.10182859431761 38.93152738722498))","[2,9]"
15,15,"POLYGON ((-77.10182859431761 38.938515015028074, -77.10182859431761 38.94550195432127, -77.09284544147643 38.94550195432127, -77.09284544147643 38.938515015028074, -77.10182859431761 38.938515015028074))","[2,8]"
16,16,"POLYGON ((-77.10182859431761 38.94550195432127, -77.10182859431761 38.95248820506855, -77.09284544147643 38.95248820506855, -77.09284544147643 38.94550195432127, -77.10182859431761 38.94550195432127))","[2,7]"
17,17,"POLYGON ((-77.10182859431761 38.95248820506855, -77.10182859431761 38.959473767233916, -77.09284544147643 38.959473767233916, -77.09284544147643 38.95248820506855, -77.10182859431761 38.95248820506855))","[2,6]"
18,18,"POLYGON ((-77.09284544147643 38.89657892182632, -77.09284544147643 38.90356999163647, -77.08386228863523 38.90356999163647, -77.08386228863523 38.89657892182632, -77.09284544147643 38.89657892182632))","[3,14]"
19,19,"POLYGON ((-77.09284544147643 38.90356999163647, -77.09284544147643 38.91056037311766, -77.08386228863523 38.91056037311766, -77.08386228863523 38.90356999163647, -77.09284544147643 38.90356999163647))","[3,13]"
20,20,"POLYGON ((-77.09284544147643 38.91056037311766, -77.09284544147643 38.917550066233616, -77.08386228863523 38.917550066233616, -77.08386228863523 38.91056037311766, -77.09284544147643 38.91056037311766))","[3,12]"
21,21,"POLYGON ((-77.09284544147643 38.917550066233616, -77.09284544147643 38.92453907094813, -77.08386228863523 38.92453907094813, -77.08386228863523 38.917550066233616, -77.09284544147643 38.917550066233616))","[3,11]"
22,22,"POLYGON ((-77.09284544147643 38.92453907094813, -77.09284544147643 38.93152738722498, -77.08386228863523 38.93152738722498, -77.08386228863523 38.92453907094813, -77.09284544147643 38.92453907094813))","[3,10]"
23,23,"POLYGON ((-77.09284544147643 38.93152738722498, -77.09284544147643 38.938515015028074, -77.08386228863523 38.938515015028074, -77.08386228863523 38.93152738722498, -77.09284544147643 38.93152738722498))","[3,9]"
24,24,"POLYGON ((-77.09284544147643 38.938515015028074, -77.09284544147643 38.94550195432127, -77.08386228863523 38.94550195432127, -77.08386228863523 38.938515015028074, -77.09284544147643 38.938515015028074))","[3,8]"
25,25,"POLYGON ((-77.09284544147643 38.94550195432127, -77.09284544147643 38.95248820506855, -77.08386228863523 38.95248820506855, -77.08386228863523 38.94550195432127, -77.09284544147643 38.94550195432127))","[3,7]"
26,26,"POLYGON ((-77.09284544147643 38.95248820506855, -77.09284544147643 38.959473767233916, -77.08386228863523 38.959473767233916, -77.08386228863523 38.95248820506855, -77.09284544147643 38.95248820506855))","[3,6]"
27,27,"POLYGON ((-77.09284544147643 38.959473767233916, -77.09284544147643 38.96645864078138, -77.08386228863523 38.96645864078138, -77.08386228863523 38.959473767233916, -77.09284544147643 38.959473767233916))","[3,5]"
28,28,"POLYGON ((-77.08386228863523 38.89657892182632, -77.08386228863523 38.90356999163647, -77.07487913579403 38.90356999163647, -77.07487913579403 38.89657892182632, -77.08386228863523 38.89657892182632))","[4,14]"
29,29,"POLYGON ((-77.08386228863523 38.90356999163647, -77.08386228863523 38.91056037311766, -77.07487913579403 38.91056037311766, -77.07487913579403 38.90356999163647, -77.08386228863523 38.90356999163647))","[4,13]"
